name,ingredients,preparation_time,cooking_time,total_time,image_url,source
Turkey Tagine bin Youssef,"2 teaspoons paprika 1 teaspoon ground cumin 1 teaspoon salt 1 teaspoon ground black pepper 1 large onion, cut into 1/8-inch slices 1 large potato, peeled and sliced 1/8-inch thick 2 medium carrots, peeled and cut into 1/8-inch slices 2 small zucchini, cut into 1/8-inch slices 1 large green bell pepper, cut into 1/8-inch slices 3 medium tomatoes, chopped 3 cloves garlic, minced ¾ pound turkey breast, cut into 3/4-inch chunks 2 tablespoons vegetable oil 1 tablespoon olive oil",99,19,118,https://www.allrecipes.com/thmb/HIu6Mlr4YtwEuYj9iq-2GN-PIsg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/2401671-ecd3ad33773043eb8d4c96ef1cb99aaa.jpg,https://www.allrecipes.com/recipe/268191/turkey-tagine-bin-youssef/
One-Pot Moroccan Chicken,"1 tablespoon olive oil 1 medium onion, chopped 2 cloves garlic 1 pound skinless, boneless chicken breast, cut into 1-inch cubes 1 cup crushed tomatoes, with liquid 2 medium carrots, chopped 2 stalks celery, sliced ½ cup water ¼ cup olives, or to taste 2 tablespoons raisins, or to taste 1 tablespoon minced fresh ginger root 2 teaspoons salt 1 teaspoon paprika 1 teaspoon ground cumin 1 teaspoon ground turmeric ½ teaspoon dried oregano ½ teaspoon ground cinnamon ¼ teaspoon cayenne pepper 1 tablespoon lemon juice 1 tablespoon finely chopped cilantro, or to taste",92,13,105,https://www.allrecipes.com/thmb/WaZjs3mSr6MW7UG8jVTQVwn4t3A=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/9004405-97a59c4c8d1b4c228a438fb4d39db042.jpg,https://www.allrecipes.com/recipe/278483/one-pot-moroccan-chicken/
Moroccan Lamb Tagine,"1 tablespoon olive oil 2 large onions, peeled and sliced into rings 2 pounds lamb meat, cut into 1 1/2 inch cubes 1 teaspoon ground cumin 1 teaspoon ground coriander seed 1 teaspoon ground ginger 1 teaspoon ground cinnamon salt to taste 1 teaspoon ground black pepper 4  pears - peeled, cored and cut into 1 1/2 inch chunks ½ cup golden raisins ½ cup blanched slivered almonds",41,15,56,https://www.allrecipes.com/thmb/J1rN6TZnvYxphTV2c7dcVLBglS8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4289818-d7cf2002e41d43b4ba8b51c1fc2f98c2.jpg,https://www.allrecipes.com/recipe/70424/moroccan-tagine/
Moroccan Black-Eyed Peas (Cowpeas),"1 ½ cups dried black-eyed peas (cowpeas) 1  onion, chopped 1 (8 ounce) can tomato sauce ½ cup olive oil ¼ cup chopped fresh cilantro 3 cloves garlic, finely chopped 1 ½ teaspoons salt 1 ½ teaspoons ground cumin 1 ½ teaspoons sweet paprika 1 teaspoon ground ginger ¼ teaspoon cayenne pepper 3 ½ cups water, or more if needed",16,7,23,https://www.allrecipes.com/thmb/uzliRnSyfVK_wEdTVEjOkWtA7Xc=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/2890282-7681691862cc487e993597f7789a1ee4.jpg,https://www.allrecipes.com/recipe/237350/moroccan-black-eyed-peas-cowpeas/
One-Pot Moroccan Shrimp Tagine,"3 tablespoons olive oil 4 large carrots, chopped 1 large sweet onion, diced 1 large russet potato, peeled and diced 1  red bell pepper, thinly sliced ½ cup pitted Kalamata olives, sliced 2 tablespoons minced garlic 2 teaspoons ginger paste 2 large tomatoes, coarsely chopped ½ cup chopped fresh cilantro 1 tablespoon dried parsley 2 teaspoons ground cumin 2 teaspoons seasoned salt 1 (1.41 ounce) package sazon seasoning with saffron (such as Goya® Azafran) 1 teaspoon paprika 1 teaspoon ground turmeric 1 teaspoon lemon juice ½ teaspoon cayenne pepper ½ teaspoon ground black pepper 1  bay leaf 1 pound uncooked medium shrimp, peeled and deveined",36,83,119,https://www.allrecipes.com/thmb/1-GoafcLhI6_Z4Ou84NU1xc0jfA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7688611-b8ade0a293054e82b0d4ea085a86160f.jpg,https://www.allrecipes.com/recipe/278389/one-pot-moroccan-shrimp-tagine/
Moroccan Vegan Tagine,"1 ½ cups water, or as needed 1 cup uncooked green lentils 3 tablespoons olive oil 1  onion, chopped 4 cloves garlic, finely chopped 1 tablespoon ground turmeric 1 tablespoon ground coriander 1 teaspoon cumin seeds, finely ground salt and freshly ground black pepper to taste 3  potatoes, peeled and cubed 1 (14 ounce) can crushed tomatoes 2  sweet potatoes, peeled and cubed 2 large carrots, peeled and sliced 4 cups vegetable broth",66,25,91,https://www.allrecipes.com/thmb/_3zE08LZANE-0As1DqmjXYaZiOU=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4580667-90ec4bd65be445be8f71e9359a79eeb7.jpg,https://www.allrecipes.com/recipe/262147/moroccan-vegan-tagine/
Moroccan Meat Cigars,"1 teaspoon olive oil ½ pound lean ground beef ½ cup canned crushed tomatoes, drained ¼ teaspoon ground cinnamon ¼ teaspoon ground cumin ⅛ teaspoon paprika ⅛ teaspoon ground allspice 1 (16 ounce) package phyllo dough cooking oil spray",101,83,184,https://www.allrecipes.com/thmb/76_rhqiWnJF0BvjSArwOpIa7454=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/5371439-d526c7921acc4341b591ef3b4fe0e523.jpg,https://www.allrecipes.com/recipe/169523/moroccan-meat-cigars/
Instant Pot Lamb Tagine with Lentils,"2 tablespoons ghee (clarified butter) 1  onion 1 pound cubed lamb stew meat 2 large tomatoes, diced 1 ½ cups diced potatoes 2 cloves garlic, minced 1 teaspoon salt (Optional) ½ teaspoon ground black pepper ½ teaspoon ground cumin ½ teaspoon ground coriander ½ teaspoon ground turmeric ½ teaspoon ground cinnamon ½ teaspoon ground ginger ½ teaspoon paprika 1 teaspoon chili flakes 2 tablespoons tomato paste 2 cups chicken broth 1 cup dry lentils ⅓ cup raisins, or more to taste 2 tablespoons honey 1 pinch salt and ground black pepper to taste (Optional)",7,62,69,https://www.allrecipes.com/thmb/dNJXm5MnDAjjhvCQKVB9IbHlGQw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/6957765-8a26f25663b349a1abc0a37ff80c4d0d.jpg,https://www.allrecipes.com/recipe/275579/instant-pot-lamb-tagine-with-lentils/
Instant Pot® Moroccan Chicken,"1 tablespoon Moroccan spice rub 1 pound chicken tenders 2 tablespoons olive oil 1 tablespoon butter ½ small red onion, chopped 1  carrot, chopped 2 cloves garlic, minced 1 cup pearl (Israeli) couscous ¾ cup chicken broth ½ cup chickpeas, rinsed and drained 2 tablespoons toasted almonds",65,60,125,https://www.allrecipes.com/thmb/-zul-WCMS75y0GQFpU785srwYQo=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/6838043-fd03ba68a72941068829ceebecddd25e.jpg,https://www.allrecipes.com/recipe/274770/instant-pot-moroccan-chicken/
Moroccan Chicken Tagine,"¼ cup ground cinnamon ¼ cup ground cumin 2 tablespoons ground turmeric 2 tablespoons ground coriander 2 tablespoons ground ginger 2 tablespoons crushed dried mint 1 tablespoon salt 2 teaspoons ground black pepper ½ cup chopped dried apricots ¼ cup raisins 4  bone-in chicken thighs ¼ cup olive oil, or as needed ½ small onion, minced 2 teaspoons chopped garlic 1 cup chicken broth ¼ cup honey ½ bunch fresh cilantro, chopped ¼ cup toasted sliced almonds",89,110,199,https://www.allrecipes.com/thmb/XjTf__-4y3pd3s-IBs6Dhyw8jYI=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/6922320-c0d75aab1d98483ead916cc3316f4bee.jpg,https://www.allrecipes.com/recipe/257104/moroccan-chicken-tagine/
Harissa,"3 ½ ounces dried red chile peppers 5 tablespoons extra-virgin olive oil, or more as desired 4 large cloves garlic, coarsely chopped 1 teaspoon caraway seeds 1 teaspoon cumin seeds ½ teaspoon coriander seeds 1 ½ teaspoons salt, or more to taste",19,72,91,https://www.allrecipes.com/thmb/Qjto8b3cAcrZvAOd7EqrTwwe898=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7798905-6ee4d196296d49c88171fc4082ec8cd8.jpg,https://www.allrecipes.com/recipe/279136/harissa/
Moroccan Beef and Lentil Stew,"2 tablespoons vegetable oil 2  carrots, chopped 1  celery stalk, chopped 1  onion, chopped 4 cloves garlic, minced 1 ½ pounds chuck roast, cut into 1-inch cubes 1 teaspoon salt, or to taste 1 teaspoon ground turmeric 1 teaspoon onion powder 1 teaspoon garlic powder ½ teaspoon ground black pepper, or to taste ½ teaspoon ground cinnamon ½ teaspoon ground ginger ½ teaspoon ground cumin ½ teaspoon ground coriander ¼ teaspoon ground allspice 3 tablespoons tomato paste 4 cups low-sodium beef broth 1 tablespoon molasses 2  bay leaves 1 cup dried red lentils ½ cup dried apricots, chopped ½  lemon, juiced",14,58,72,https://www.allrecipes.com/thmb/rYDhUb6ROOT--MmEzWC26HOIPmA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7756081-b698229719014b408d930d1c02c7acf4.jpg,https://www.allrecipes.com/recipe/278891/moroccan-beef-and-lentil-stew/
Moroccan-Spiced Chicken Skewers,"¼ cup extra-virgin olive oil ¼ cup chopped fresh mint leaves ¼ cup chopped fresh cilantro 2 tablespoons fresh lemon juice 2 teaspoons honey 1 ½ teaspoons kosher salt 2 cloves garlic, minced 1 teaspoon paprika 1 teaspoon ground cumin ½ teaspoon ground coriander ½ teaspoon ground cinnamon ¼ teaspoon ground cayenne pepper 4 (6 ounce) skinless, boneless chicken breast halves, cut into 1 1/2 inch cubes 2 cups whole-milk Greek yogurt ½ cup fresh lemon juice ¼ cup finely chopped mint leaves  2 cloves garlic, minced 1 teaspoon finely grated fresh lemon zest 1 teaspoon kosher salt 2  green bell peppers, cut into cubes 1 small red onion, cut into 8 wedges bamboo skewers, soaked in water for 30 minutes",56,93,149,https://www.allrecipes.com/thmb/F-exz2SEKzsh-hlYfeyTJS6Ud6Q=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4560029-390038cc2ab443d98455dbaaf7aca36b.jpg,https://www.allrecipes.com/recipe/259899/moroccan-spiced-chicken-skewers/
Make-Ahead Vegetarian Moroccan Stew,"1 teaspoon ground cinnamon 1 teaspoon ground cumin 1 teaspoon kosher salt ½ teaspoon ground ginger ¼ teaspoon ground cloves ¼ teaspoon ground nutmeg ¼ teaspoon ground turmeric ⅛ teaspoon curry powder 1 tablespoon butter 1 medium sweet onion, chopped 2 cups finely shredded kale  4 (14.5 ounce) cans organic vegetable broth 1 (15 ounce) can garbanzo beans, drained 1 (14.5 ounce) can diced tomatoes, undrained 3 large potatoes, peeled and diced 2 medium sweet potatoes, peeled and diced 4 large carrots, chopped 1 cup dried lentils, rinsed ½ cup chopped dried apricots 1 tablespoon honey 1 teaspoon ground black pepper, to taste 1 tablespoon cornstarch (Optional) 1 tablespoon water (Optional)",90,69,159,https://www.allrecipes.com/thmb/ti8N6jPMiTLqy0VQyjfehEsF_5Y=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/5752565-a84a5e3cafa848d790bedc9bb2dc0ee9.jpg,https://www.allrecipes.com/recipe/217109/make-ahead-vegetarian-moroccan-stew/
Moroccan Harira (Bean Soup),"6 cups beef stock 1 cup dry lentils 1 tablespoon olive oil, or to taste 1  onion, chopped 1  cinnamon stick 1 teaspoon minced fresh ginger root 1 teaspoon ground turmeric 1 teaspoon ground cumin 1 teaspoon ground black pepper 1 (15 ounce) can garbanzo beans, drained 1 (15 ounce) can red kidney beans, rinsed and drained 1 (14 ounce) can diced tomatoes 1 cup cooked quinoa (Optional) 1 bunch flat-leaf parsley leaves and thinner stems, chopped 1 bunch cilantro leaves and thinner stems, chopped 1  lemon, or to taste, juiced",84,77,161,https://www.allrecipes.com/thmb/DkdQq0-NfURjpT2R4JYWF7SHIUQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1530492-33e1644021554321ba2291d9da13bc69.jpg,https://www.allrecipes.com/recipe/238523/moroccan-harira-bean-soup/
"Moroccan Lamb, Lentil, and Chickpea Soup","1 pound ground lamb 1 teaspoon ground cinnamon 1 teaspoon ground cumin 1 teaspoon kosher salt ½ teaspoon ground ginger ¼ teaspoon ground cloves ¼ teaspoon ground nutmeg ¼ teaspoon ground turmeric ⅛ teaspoon curry powder 1 tablespoon butter 1  sweet onion, chopped 2 (10.5 ounce) cans beef consomme 1 (14.5 ounce) can diced tomatoes with juice 1 (14 ounce) can organic beef broth 1 (14 ounce) can organic chicken broth 1 tablespoon honey 3 large carrots, halved lengthwise and thinly sliced 2  sweet potatoes, peeled and diced 1 (15 ounce) can garbanzo beans, rinsed and drained 1 cup lentils, rinsed and drained ½ cup chopped dried apricots (Optional) ⅛ teaspoon cayenne pepper, or to taste (Optional) 1 pinch ground black pepper to taste",84,60,144,https://www.allrecipes.com/thmb/Crh4PhHM53egCyU9S7brBqlfIvs=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/541255-77ba45ea038a432fa2d8bb84ae9686b0.jpg,https://www.allrecipes.com/recipe/278789/moroccan-lamb-lentil-and-chickpea-soup/
Moroccan Lamb Stew with Apricots,"2 pounds boneless leg of lamb, cut into 1-inch cubes 2 teaspoons ground coriander 1 teaspoon ground cumin 1 teaspoon sweet paprika ½ teaspoon cayenne pepper ½ teaspoon ground cardamom ½ teaspoon ground turmeric 2 teaspoons kosher salt 2 tablespoons olive oil 2 cups finely chopped onion 4 cloves garlic, minced 1 tablespoon minced fresh ginger root 2 (3 inch) cinnamon sticks 2 cups low-sodium chicken stock 1 cup dried apricots, halved 2 (3 inch) orange peel strips 1 tablespoon honey ¼ cup chopped fresh cilantro ¼ cup toasted pine nuts",92,71,163,https://www.allrecipes.com/thmb/v7JxWPmmachVfa0uUvk1A-b30DY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8924797-2b9366c38f36400e9b031729869b425f.jpg,https://www.allrecipes.com/recipe/282831/moroccan-lamb-stew-with-apricots/
Moroccan Lentil Soup with Veggies,"¼ cup olive oil 4 large carrots, chopped 1 large white onion, finely chopped 2 teaspoons kosher salt 2 teaspoons chopped fresh parsley 1 teaspoon ground black pepper ½ teaspoon ground ginger ½ teaspoon dried tarragon ½ teaspoon cumin 1 (16 ounce) package dry lentils 1 cup crushed tomatoes 2 quarts vegetable broth 1 (10 ounce) package spinach 1 large zucchini, cut into small pieces salt to taste 1 teaspoon olive oil, or to taste",73,114,187,https://www.allrecipes.com/thmb/EGCWNwt8LB9nui7v44Y3FKpFUsI=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/9062079-427705606a6747ec9d58860450ab42da.jpg,https://www.allrecipes.com/recipe/238522/moroccan-lentil-soup-with-veggies/
Marrakesh Vegetable Curry,"1  sweet potato, peeled and cubed 1  medium eggplant, cubed 1  green bell pepper, chopped 1  red bell pepper, chopped 2  carrots, chopped 1  onion, chopped 6 tablespoons olive oil 3 cloves garlic, minced 1 teaspoon ground turmeric 1 tablespoon curry powder 1 teaspoon ground cinnamon ¾ tablespoon sea salt ¾ teaspoon cayenne pepper 1 (15 ounce) can garbanzo beans, drained ¼ cup blanched almonds 1  zucchini, sliced 2 tablespoons raisins 1 cup orange juice 10 ounces spinach",25,46,71,,https://www.allrecipes.com/recipe/13988/marrakesh-vegetable-curry/
Moroccan Chicken with Saffron and Preserved Lemon,"¼ cup olive oil, or to taste 3 cloves garlic, minced 1 teaspoon ground turmeric 1 teaspoon cumin seeds salt and ground black pepper to taste 4 large chicken thighs 2 tablespoons olive oil, or as needed 1 medium white onion, chopped 2 cups water, or as needed 16  saffron threads ½  preserved lemon, pulp discarded and thinly sliced 2  artichoke bottoms, chopped (Optional) ¼ cup olives, or to taste (Optional) ¼ cup coarsely chopped parsley (Optional)",63,23,86,,https://www.allrecipes.com/recipe/246488/moroccan-chicken-with-saffron-and-preserved-lemon/
Moroccan-Inspired Eggs,"2 tablespoons olive oil 6 stalks scallions, sliced 4 cloves garlic, sliced 1 ½ teaspoons ground cumin 1 (14 ounce) can diced tomatoes 1 pinch cayenne pepper, or to taste sea salt and ground black pepper to taste ½ teaspoon honey 4 large eggs 3 tablespoons roughly chopped fresh cilantro",34,31,65,https://www.allrecipes.com/thmb/uevXBQeOMOfIDBnDa7W8m9zNE9c=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1913745-887aa6e9f67a4b169e7a30e01143b1fe.jpg,https://www.allrecipes.com/recipe/282707/moroccan-inspired-eggs/
"Moroccan Semolina Soup with Milk, Anise Seeds, and Honey","4 cups water ¾ cup coarse semolina flour 1 ¼ teaspoons salt, or to taste 3 cups milk 2 tablespoons butter 1 teaspoon anise seed, or more to taste",46,28,74,https://www.allrecipes.com/thmb/2U_rqXva72QrxQFRXkJZGokFztY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/Moroccan-Semolina-Soup-with-Milk-Anise-Seeds-and-Honey-2x1-1-4f804ed76c744d99bf37545fae0f6ce1.jpg,https://www.allrecipes.com/recipe/234420/moroccan-semolina-soup-with-milk-anise-seeds-and-honey/
Moroccan Preserved Lemons,"6  organic lemons ¼ cup kosher salt 1 cup lukewarm water, or as needed",11,91,102,,https://www.allrecipes.com/recipe/262945/moroccan-preserved-lemons/
Spanish Moroccan Fish,"1 tablespoon vegetable oil 1 onion, chopped 1 clove garlic, finely chopped 1 (15 ounce) can garbanzo beans, drained and rinsed 2 red bell peppers, seeded and sliced into strips 1 large carrot, thinly sliced 3 tomatoes, chopped 4 olives, chopped ¼ cup chopped fresh parsley ¼ cup ground cumin 3 tablespoons paprika 2 tablespoons chicken bouillon granules 1 teaspoon cayenne pepper salt, to taste 5 pounds tilapia fillets",42,13,55,https://www.allrecipes.com/thmb/-L2vUuWSRi6fgrz7kXT9FbAYDx4=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/256938-1b4d9867275c49c085358f3123411bd4.jpg,https://www.allrecipes.com/recipe/133895/spanish-moroccan-fish/
